Published Date,Link,Title,Author,Institution,Publisher,Target,Sample collection date,Location,Genus,Species,Result,Chemotypes,Identification method,Strain ID,Project #,DOI
2016,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE09473446,Toxigenic Mycobiota of Small Grain Cereals in Korea,"Lee, Theresa(Microbial Safety Team, National Institute of Agricultural Sciences)",National Institute of Agricultural Sciences (농촌진흥청 국립농업과학원),Korean Society of Mycology (한국균학회),"barley, wheat, rice, corn",several years,collected from fields at harvest or during storage for several years,"Alternaria
Fusarium
Epicoccum
Cercospora
Cladosporium
Aspergillus
Penicillium","graminearum
incarnatum-equiseti
fujikuroi",,DON,PCR,,,
2019,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE10057716,Identification and Chemotype Profiling of Fusarium Species in Korean Oat,"최정혜(국립농업과학원유해생물팀)
나주영(국립농업과학원유해생물팀)
진현숙(국립농업과학원유해생물팀)
임수빈(국립농업과학원유해생물팀)
백지선(국립농업과학원유해생물팀)
이미정(국립농업과학원유해생물팀)
장자영(국립농업과학원유해생물팀)
이데레사(국립농업과학원유해생물팀)
홍성기(국립농업과학원작물보호과)
김점순(국립농업과학원유해생물팀)","국립농업과학원유해생물팀
국립농업과학원작물보호과",The Korean Society of Plant Pathology (한국식물병리학회),귀리,2018. 04. ~ 2018. 06.,"귀리 재배지 강진, 정읍",Fusarium,"asiaticum (83.1%)
incarnatum (5.4%)
proliferatum (3.5%)
fujikuroi (2.8%)
tricinctum species complex (FTSC) 11 (1.5%)
graminearum (1.0%)",국내에서는 처음 보고되는 F. asiaticum에 의한 귀리의 붉은 곰팡이병 사례,"NIV (97%)
3-ADON (3.2%)
15-ADON(0.4%)",마커 유전자 염기서열 분석,,,
2019,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE10057718,Occurrence of Fusarium Species in Korean Sorghum Grains (국내 수수 알곡에서의 Fusarium속 균의 발생현황),"최정혜(국립농업과학원유해생물팀)
나주영(국립농업과학원유해생물팀)
진현숙(국립농업과학원유해생물팀)
임수빈(국립농업과학원유해생물팀)
백지선(국립농업과학원유해생물팀)
이미정(국립농업과학원유해생물팀)
장자영(국립농업과학원유해생물팀)
이데레사(국립농업과학원유해생물팀)
홍성기(국립농업과학원작물보호과)
최효원(국립농업과학원작물보호과)
김점순(국립농업과학원유해생물팀)","국립농업과학원유해생물팀
국립농업과학원작물보호과",The Korean Society of Plant Pathology (한국식물병리학회),Sorghum Grains,2017 ~ 2018,"단양, 영월",Fusarium,"graminearum
proliferatum
thapsinum
incarnatum
asiaticum",F. proliferatum과 F. thapsinum이 다른 종에 비해 높은 수수 병원성을 나타내었다,"NIV
15-ADON",,,,
2019,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE10057710,First Report of Fusarium oxysporum Causing Damping-off on Paprika in Korea,"박미정(농촌진흥청 국립원예특작과학원 원예특작환경과)
백창기(농촌진흥청 국립원예특작과학원 원예특작환경과)
서윤희(농촌진흥청 국립원예특작과학원 원예특작환경과)
박종한(농촌진흥청 국립원예특작과학원 원예특작환경과)",농촌진흥청 국립원예특작과학원 원예특작환경과,The Korean Society of Plant Pathology (한국식물병리학회),Paprika,2019. 02.,"commercial nursery located in Cheorwon, Korea",Fusarium,oxysporum,first report of damping-off caused by Fusarium oxysporum on paprika in Korea,,morphological characteristics and nucleotide sequence data of translation elongation factor $1-{\alpha}$ and the largest subunit of RNA polymerase,,,
2019,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE09249720,First Report of Kiwifruit Brown Leaf Spot Caused by Fusarium tricinctum in South Korea,"Min-jung Kim
Youngho Kwon
곽연식",경상대학교 농업생명과학연구원 (구 경상대학교 시설원예연구소),경상대학교 농업생명과학연구원 (구 경상대학교 시설원예연구소),Kiwifruit (Actinidia chinensis Planch.) ,2019,"Jeju, South Korea",Fusarium,tricinctum,first reportof the brown leaf spot caused by F. tricinctum on kiwifruit,,,,,
2018. 10.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE07560669,Pathogenic characteristics of Fusarium species causing fusarium wilt of soybean in Korea,"Hyo-Won Choi(National Institute of Agricultural Sciences)
Hyo Won Kim(National Institute of Agricultural Sciences)
Jae Geum Lee(National Institute of Agricultural Sciences)
Eun Hye Kang(National Institute of Agricultural Sciences)
Young Kee Lee(National Institute of Agricultural Sciences)
Sung Kee Hong(National Institute of Agricultural Sciences)
Jeom Soon Kim(National Institute of Agricultural Sciences)",National Institute of Agricultural Sciences (농촌진흥청 국립농업과학원),The Korean Society of Pesticide Science (한국농약과학회),soybean,2014 ~ 2016,four provinces in Korea,Fusarium,"oxysporum
solani
fujikuroi
commune","five cultivars, Daewon, Taegwang, Daepoong, Chamol and Hwanggeumol, were affected by all the tested Fusarium species, whereas no symptoms of wilting were observed on two cultivars, Janggi and Socheongja, inoculated with F. oxysporum and F. solani",,"morphological, molecular characteristics and pathogenicity to soybean",,,
2018. 10.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE07560643,First report of postharvest disease on banana by Fusarium verticilliodes in Korea,Min A Song,Jeju Agricultural Research and Extension Services (제주농업기술원),The Korean Society of Pesticide Science (한국농약과학회),banana,2018,Jeju Island,Fusarium,verticilliodes,"first report of crown rot on bananas caused by Fusarium verticillioides in Jeju-do, Korea",,"mycological characteristics, pathogenicity test and the 18S rRNA gene sequence analysis",,,
2018. 10.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE07560606,Occurrence of fusarium head blight on barley in Jeonbuk province related to weather change in 2018,"Ju-Hee Kim(Jeollabuk-do Agricultural Research and Extension Services)
Min-Kyung Choi(Jeollabuk-do Agricultural Research and Extension Services)
In-Yeong Choi(Jeollabuk-do Agricultural Research and Extension Services)
Su-ji Jang(Jeollabuk-do Agricultural Research and Extension Services)
Hyong-gwon Chon(Jeollabuk-do Agricultural Research and Extension Services)
Wang-Hyu Lee(Chonbuk National University)","Jeollabuk-do Agricultural Research and Extension Services
Chonbuk National University",The Korean Society of Pesticide Science (한국농약과학회),barley,2017 ~ 2018,"barley field in Jeonbuk (Iksan, Kimje, and Gunsan)",Fusarium,,"almost no occurrence in 2017, but it was occurred to 23.6% in 2018",,,,,
2018. 10.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE07560644,Tuber rot of Gastrodia elata by Fusarium spp.,"Chang Su Kim(Jeollabukdo Agricultural Research & Extension Services)
Hyo Jin Kim(Jeollabukdo Agricultural Research & Extension Services)
Sang Young Seo(Jeollabukdo Agricultural Research & Extension Services)
Min Sil Ahn(Jeollabukdo Agricultural Research & Extension Services)
In Young Choi(Jeollabukdo Agricultural Research & Extension Services)
Han Na Lee(Jeollabukdo Agricultural Research & Extension Services)
Hee Jun Kim(Jeollabukdo Agricultural Research & Extension Services)
Wang Hyu Lee(Chonbuk National University)","Jeollabuk-do Agricultural Research and Extension Services
Chonbuk National University",The Korean Society of Pesticide Science (한국농약과학회),Gastrodia elata (천마),2016 ~ 2018,"Muju and Jinan, Korea",Fusarium,"oxysporum
solani",first report on tuber rot in G. elata caused by F. oxysporum and F. solani in Korea.,,,,,
2019. 04. 18.,https://www.koreascience.or.kr/article/CFKO201932468201019.page,Strains of Fusarium graminearum Isolates from Wheat Kernels in Korea,"Kang, Chon Sik (National Institute of Crop Science, RDA)
Son, Jae Han (National Institute of Crop Science, RDA)
Kim, Kyeong Hoon (National Institute of Crop Science, RDA)
Kim, Kyeong Min (National Institute of Crop Science, RDA)
Park, Jin Hee (National Institute of Crop Science, RDA)
Choi, Chang Hyun (National Institute of Crop Science, RDA)
Park, Tae IL (National Institute of Crop Science, RDA) ; Shin, Sang Hyun (Animal and Plant Quarantine Agency)","National Institute of Crop Science (국립식량과학원)
Animal and Plant Quarantine Agency (농림축산검역본부)",The Korean Society of Crop Science (한국작물학회),Wheat grain,2012. 06.,"Jeonbuk, Jeonnam, Chungbuk, Chungnam, Gangwon, and Gyeongnam",Fusarium,"graminearum
asiaticum","F. asiaticum (95% of all isolates), no virulence difference in wheat","NIV, DON, 3-ADON, 15-ADON","sequencing: ITS(internal transcribed spacer), TEF1(translation elongation factor 1-α) / Trichothecene chemotype determination: multiplex PCR based on Tri7, Tri13 sequences",,PJ012464012019,
2019.04.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE08756636,Species Composition and Chemotype of Mycotoxigenic Fusarium Species from Cereals,"Jung-Hye Choi(Rural Development Administration)
Ju-Young Nah(Rural Development Administration)
Hyun-Suk Jin(Rural Development Administration)
SooBin Yim(Rural Development Administration)
Hyo-Won Choi(Rural Development Administration)
Sung Kee Hong(Rural Development Administration)
Theresa Lee(Rural Development Administration)
Ja Yeong Jang(Rural Development Administration)
Jeomsoon Kim(Rural Development Administration)",Rural Development Administration (농촌진흥청),The Microbiological Society of Korea (한국미생물학회),"first report: oat, sorghum, millet
adlay",2017,fields,Fusarium,"graminearum
fujikuroi
incarnatum-equiseti
avenaceum
arthrosporioides
tricinctum
thapsinum
proliferatum",,,"FUM1, TRI12, TRI13",,,
2020. 03. 28.,https://www.koreascience.or.kr/article/JAKO202010548327798.pdf,First Report of Peach Fruit Rot Caused by Fusarium avenaceum in Korea (Fusarium avenaceum에 의한 복숭아 신규 과실 썩음병 발생 보고),"A Yeong Heo
Young Mo Koo
Young-Joon Choi
Sang Hee Kim
Gyu Young Chung
Hyong Woo Choi","Department of Plant Medicals, Andong National University, Andong 36729, Korea
Department of Biology, Kunsan National University, Gunsan 54150, Korea
Division of Applied Life Science (BK 21 Plus Program), Plant Molecular Biology and Biotechnology Research Center, Gyeongsang National University, Jinju 52828, Korea
Division of Horticulture & Medicinal Plant, Andong National University, Andong 36729, Korea",The Korean Society of Plant Pathology (한국식물병리학회),first report: peach fruit,2019. 07.,"peach fruits harvested from the fields at Andong, Korea
경상북도 안동시의 남후면 하아리(36° 33'08.2''N, 128°34'02.0''E)",Fusarium,avenaceum,,,"morphological characteristics and sequence analysis of rDNA internal transcribed spacer, translation elongation factor 1-alpha, and β-tubulin",,,https://doi.org/10.5423/RPD.2020.26.1.48
2020. 11.,http://www.dbpia.co.kr.ssl.proxy.konkuk.ac.kr:8080/journal/articleDetail?nodeId=NODE10486902,First Occurrence of Fruit Rot on Melon Caused by Fusarium asiaticum in Korea,"Mun Haeng Lee(Chungcheongnam-do ARES)
Myung Soo Park(Seoul National University)
Hae Keun Yun(Yeungnam University)
Eui Il Hwang(Technology Research Center)
Hong Kyu Kim(Chungcheongnam-do ARES)
Nak Beom Jeon(Chungcheongnam-do ARES)","Chungcheongnam-do ARES(Agricultural Research and Extension Services)
Seoul National University
Yeungnam University
Technology Research Center",Korean Society for Horticultural Science (한국원예학회),,2019. 11.,melon growing at greenhouse in Puyeo,Fusarium,asiaticum,,,"morphological characteristics, pathogenic test and translate elongation factor 1-alpha (EF1a) sequences",MF20191126-02,,
2020. 10.,,First Report of the Causative agent of Fusarium wilt in Astragalus membranaceus (황기 시들음병 유발 원인균 최초 보고),"Eun Song Lee(RDA)
Yong Il Kim(RDA)
Young Guk Kim(RDA)
Tae Jin An(RDA)
Jae Ki Chang(RDA)",농촌진흥청,The Korean Society of Medicinal Crop Science (한국약용작물학회),Astragalus membranaceus (황기),2019,,,,,,,,,